Code,LatitudeOrig,LongitudeOrig,Shift,LatitudeShifted,LongitudeShifted,Name,Address,Q3,Q6_1,Q6_2,Q6_3,Q6_4,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q12_1,Q12_2,Q12_3,Q12_4,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q16_1,Q16_2,Q16_3,Q16_4,Q17_1,Q17_2,Q17_3,Q17_4,Q19_1,Q19_2,Q19_3,Q19_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q35,Q36,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q39
30Q389,40.768158,-73.873815,0,40.768158,-73.873815,District 30 Pre-K Center,96-10 23 AVE,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,1,0,0,0,0,0
30Q445,40.75769,-73.910378,0,40.75769,-73.910378,William Cullen Bryant High School,48-10 31 AVE,2,0,0,0,0,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,6,6,0,8,3,0
30Q450,40.76547,-73.933053,0,40.76547,-73.933053,Long Island City High School,14-30 BROADWAY,2,0,0,0,0,1,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,6,12,1,0,6,12,1
30Q501,40.756085,-73.925098,0,40.756085,-73.925098,Frank Sinatra School of the Arts High School,35-12 35 AVE,1,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,1,12,12,3,2,5,0,0
30Q502,40.748517,-73.946416,0,40.748517,-73.946416,Information Technology High School,21-16 44 RD,4,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,4,5,0,6,1,0,0
30Q555,40.751431,-73.936855,0,40.751431,-73.936855,Newcomers High School,28-01 41 AVE,2,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,1,0,1,0,1
30Q575,40.751136,-73.937497,0,40.751136,-73.937497,Academy of American Studies,28-04 41 AVE,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,9,0,0,5,0,1
30Q580,40.755157,-73.926974,0,40.755157,-73.926974,Baccalaureate School for Global Education,34-12 36 AVE,4,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,1,4,0,0,0,0,0
31R001,40.508864,-74.244023,0,40.508864,-74.244023,P.S. 001 Tottenville,58 SUMMIT ST,4,0,0,0,0,2,1,1,1,1,40,0,40,0,120,0,120,0,220,220,220,0,120,120,120,0,135,135,45,0,165,165,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,3,3,2,13,2,16,0,1
31R003,40.52062,-74.211622,0,40.52062,-74.211622,P.S. 003 The Margaret Gioiosa School,80 S GOFF AVE,4,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,60,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,3,2,0,0,0,0
31R004,40.552373,-74.195516,0,40.552373,-74.195516,P.S. 004 Maurice Wollin,200 NEDRA LANE,2,0,0,0,0,2,2,2,4,0,0,0,0,20,0,0,70,0,0,0,0,70,0,0,0,70,180,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,1,1,0,1,0,7,1,0
31R005,40.529697,-74.187532,0,40.529697,-74.187532,P.S. 005 Huguenot,348 DEISIUS ST,2,0,1,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,90,0,0,0,60,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,1,3,0,19,0,0
31R006,40.510274,-74.230429,0,40.510274,-74.230429,P.S. 6 Corporal Allan F. Kivlehan School,555 PAGE AVE,3,0,0,0,0,3,3,3,3,2,3,5,12,12,55,60,105,75,50,95,134,50,56,96,66,66,54,40,88,44,61,60,55,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,18,5,5,15,20,0,1
31R007,40.52297,-74.186098,0,40.52297,-74.186098,I.S. 007 Elias Bernstein,1270 HUGUENOT AVE,2,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,120,1,1,1,1,1,240,240,240,240,240,1,1,1,0,1,1,1,3,3,3,8,3,1,4,0,0
31R008,40.547645,-74.151951,0,40.547645,-74.151951,P.S. 8 Shirlee Solomon,112 LINDENWOOD RD,4,0,1,0,0,0,25,2,2,0,45,45,45,0,225,225,225,0,220,220,220,0,330,330,330,0,275,275,275,0,165,165,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,12,30,0,15,9,0
31R009,40.602427,-74.091328,0,40.602427,-74.091328,Naples Street Elementary School,1055 TARGEE ST,2,1,1,0,1,1,1,1,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1,2,0,15,0,1
